boro,street,yr,m,sum_vol,count_requestid
Brooklyn,GATES AVENUE,2017,11,78396,3456
Brooklyn,S/B 7 AVENUE @ 92 STREET,2008,9,19857,192
Manhattan,AVENUE C,2018,6,92428,1920
Manhattan,RIVERSIDE DR SR APPROACH TO W 95TH ST,2011,3,5344,582
Queens,N/B YELLOWSTONE BLVD @ 67 DR,2009,3,14362,385
Brooklyn,METROPOLITAN AVENUE,2019,6,90383,576
Brooklyn,CHURCH AV,2013,12,103586,3074
Staten Island,HILLSIDE AV,2012,5,1851,121
Bronx,EAST 166 STREET,2016,10,81334,2688
Brooklyn,S/B WASHINGTON AVE @ PARK PLACE,2011,2,56923,627
Bronx,E/B RHINELANDER AVE @ PAULDING AVE,2010,4,11234,376
Bronx,CASTLE HILL AVENUE,2012,2,126091,1408
Brooklyn,81 ST,2012,10,7452,421
Queens,63 AVENUE,2015,6,29534,1344
Staten Island,HYLAN BOULEVARD,2017,6,55639,752
Manhattan,BROADWAY N/O W 173rd ST,2011,9,100115,1053
Queens,150 STREET,2017,9,57206,960
Brooklyn,GRAND AVE APPROACH TO FULTON ST,2011,4,259,14
Queens,W/B 65 RD @ 108 ST,2009,11,5152,526
Queens,S/B B CHANNEL DR @HORTON AVE (CITY LINE),2010,4,148530,1184
Bronx,EAST 162 STREET,2015,5,15836,48
Manhattan,WEST 179 STREET,2018,11,31483,576
Bronx,ST ANNS PLACE,2016,6,415,384
Brooklyn,LOCUST ST,2013,11,6237,470
Brooklyn,STAGG ST,2012,5,952,697
Brooklyn,14 AVENUE,2016,10,60154,1728
Queens,110 AV,2013,1,2581,233
Bronx,MDE SB ENTRANCE GRAND CNCRSE,2014,9,50644,718
Manhattan,WILLIAMSBURG BRIDGE,2019,11,439119,1536
Staten Island,GLEN ST,2012,10,38956,723
Bronx,WEST MT EDEN AVENUE,2015,1,122103,5689
Staten Island,ALBEE AVENUE,2015,6,6517,48
Brooklyn,E/B AVE K @ E 58 ST,2009,4,9468,332
Queens,BAISLEY BOULEVARD SOUTH,2015,6,32904,1344
Brooklyn,AV N,2014,10,51489,960
Bronx,W/B CITY ISLAND BR @ PELHAM BAY PARK,2010,3,85897,1035
Manhattan,DIVISION STREET,2017,9,101895,960
Brooklyn,20 AVENUE,2018,11,63016,1728
Bronx,BARRETTO ST APPROACH TO BRUCKNER BLVD,2011,4,21135,639
Queens,84 AV,2014,7,128,29
Manhattan,UNIVERSITY HEIGHTS BRG,2014,9,692700,3440
Queens,HOMELAWN STREET,2018,5,41905,730
Manhattan,E 57 ST,2013,1,175762,1245
Bronx,STILLWELL AVENUE,2015,11,111772,3072
Brooklyn,AVENUE U,2018,2,22253,384
Queens,CROSS ISLAND PKWY ET 25 A SB,2015,5,415892,1008
Manhattan,S/B 2ND AVE (LEFT) @ E 14 ST,2010,11,30004,731
Brooklyn,STILLWELL AV BR,2014,3,108864,2683
Bronx,BURR AVE BET 196TH ST & WESTCHESTER AVE,2011,3,28729,617
Queens,E/B 111 AVE @ 115 ST,2010,5,9099,383
